RunDate,Service Provider,ConsentID or Water Group,Activity Number,Meters,Type,Limit,Max Use,Percent Over Limit,Date of Highest Overage,Date of Earliest Non-compliance,Date of Latest Non-compliance
7-Jan-2019,Boraman,CRC072619.5,CRC072619.5-1,L36/2456-M1,Take Rate,16.8 l/s,17.4 l/s,3.4%,18-Dec-2018 20:00:00,18-Dec-2018 18:15:00,18-Dec-2018 20:45:00
7-Jan-2019,WaterCheck,CRC181738,CRC181738-1,L37/0144-M1,Take Rate,52.3 l/s,53.2 l/s,1.7%,24-Jan-2018 11:30:00,23-Jan-2018 14:15:00,24-Jan-2018 20:15:00
7-Jan-2019,Boraman,CRC940486.5,CRC940486.5-1,L36/2066-M1,Take Rate,450.0 l/s,1042.4 l/s,131.6%,19-Dec-2018 03:00:00,7-Dec-2018 00:00:00,19-Dec-2018 03:00:00
7-Jan-2019,Boraman,CRC940486.5,CRC940486.5-1,L36/2066-M1,30 day Volume,267000.0 m3,2357585.2 m3,783.0%,19-Dec-2018 00:00:00,8-Dec-2018 00:00:00,19-Dec-2018 00:00:00
7-Jan-2019,DataCol,CRC151200,CRC151200-1,K36/0958-M1,Take Rate,450.0 l/s,4270.8 l/s,849.1%,17-Dec-2018 11:45:00,17-Dec-2018 09:30:00,17-Dec-2018 13:45:00
7-Jan-2019,DataCol,CRC151200,CRC151200-1,K36/0958-M1,30 day Volume,41500.0 m3,43050.0 m3,3.7%,18-Dec-2018 00:00:00,18-Dec-2018 00:00:00,18-Dec-2018 00:00:00
7-Jan-2019,Aqualinc,CRC941177.9,CRC941177.9-1,L36/2138-M1,Take Rate,108.0 l/s,132.1 l/s,22.3%,18-Dec-2018 18:25:00,18-Dec-2018 18:05:00,18-Dec-2018 19:20:00
7-Jan-2019,DataCol,CRC172223,CRC172223-1,K36/0958-M1,Take Rate,450.0 l/s,4270.8 l/s,849.1%,17-Dec-2018 11:45:00,17-Dec-2018 09:15:00,17-Dec-2018 14:00:00
7-Jan-2019,Boraman,CRC131932.1,CRC131932.1-1,L36/2373-M1 + L36/2374-M1,Take Rate - Low Flow Ban,0 l/s,0.6 l/s,-,18-Dec-2018 08:15:00,18-Dec-2018 08:00:00,18-Dec-2018 10:30:00
